,Messages,Classe,Similarity
1,Ok,4.0,0.9999925679915664
2,Agradeço.,16.0,0.8018450476364243
8,?,6.0,0.9903489639542571
11,Oi,3.0,0.9999177003965305
13,52365859615,13.0,0.8612419705633286
18,15742824888,13.0,0.8019066035255384
26,Oi,3.0,0.9999177003965305
29,Boa Tarde,9.0,0.814110557008938
37,Boa tarde,12.0,0.9081050786729821
44,580,13.0,0.8184132117691036
47,Obrigada,2.0,0.9627894558350756
52,Ok,4.0,0.9999925679915664
62,E santa Quitéria???,16.0,0.8499546945190923
66,Oi,3.0,0.9999177003965305
76,Sim,5.0,0.9880873048952942
87,39908720368,13.0,0.8977747812808322
88,Ok,4.0,0.9999925679915664
89,06209023886,13.0,0.8064488848693386
91,.,6.0,0.9528993961538452
92,Boa tarde,12.0,0.9081050786729821
103,?,6.0,0.9903489639542571
121,"Rua Cel Serafim Chaves,710",9.0,0.8297039260135709
127,Ok,4.0,0.9999925679915664
129,5,13.0,0.8520622415298768
130,"1 metro de brita 
1 metro de areia lavada 
1 metro de areia rosa
3 sacos de cimento 
3 treliça de 6 metros",8.0,0.8172476429974802
133,Sim,5.0,0.9880873048952942
138,Ok,4.0,0.9999925679915664
140,Pode mandar,0.0,0.8480671143464124
155,Ok,4.0,0.9999925679915664
158,Obrigada,2.0,0.9627894558350756
164,Ok,4.0,0.9999925679915664
165,??,6.0,0.9738372424132666
179,824 900 494,13.0,0.8798918357915193
195,Caras casa Branca Santa Tereza,9.0,0.805832672962654
197,06664391333,13.0,0.8013773458868285
198,12815650835,13.0,0.8866329082912782
202,?,6.0,0.9903489639542571
211,Boa tarde,12.0,0.9081050786729821
217,Sim,5.0,0.9880873048952942
220,Ok,4.0,0.9999925679915664
229,Boa tarde,12.0,0.9081050786729821
230,Oi,3.0,0.9999177003965305
231,"Cpf: 96425989300

Marcel Ehrich Colares

Fortal empreendimentos",9.0,0.8310485909727858
234,Vacina,10.0,0.829640557673979
235,Sim,5.0,0.9880873048952942
236,??,6.0,0.9738372424132666
241,Simone Alves Sampaio Santos,9.0,0.8911136721357265
243,Karoliny de Angellis Mendes Silva,9.0,0.8561650193551276
244,Boa tarde,12.0,0.9081050786729821
248,Boa tarde,12.0,0.9081050786729821
256,Boa Tarde,9.0,0.814110557008938
257,"Sim.
Por favor!",16.0,0.8489380536598456
258,Ok,4.0,0.9999925679915664
260,Boa tarde,12.0,0.9081050786729821
261,Ok,4.0,0.9999925679915664
267,Oi,3.0,0.9999177003965305
268,46284427700,13.0,0.8164057051504158
271,Boa tarde,12.0,0.9081050786729821
273,51974118053,13.0,0.8895465039876598
276,Obrigado,7.0,0.9859162697976918
285,46,13.0,0.8751775316530506
286,03065981670,13.0,0.8072691701755506
288,Obrigada,2.0,0.9627894558350756
295,Obrigada,2.0,0.9627894558350756
297,Ok,4.0,0.9999925679915664
298,Obrigada,2.0,0.9627894558350756
306,Boa tarde,12.0,0.9081050786729821
308,?,6.0,0.9903489639542571
323,Boa tarde,12.0,0.9081050786729821
329,324 586 019,13.0,0.8970955238199216
331,?,6.0,0.9903489639542571
335,Obrigado,7.0,0.9859162697976918
339,Já está muito obrigada,18.0,0.8483645386386618
340,Ok,4.0,0.9999925679915664
346,Ok!!!,16.0,0.8290711196179013
348,Quanto$?,16.0,0.8562691217005977
352,Oi,3.0,0.9999177003965305
353,Obrigado,7.0,0.9859162697976918
355,Obrigado Ana,9.0,0.8315883635746564
357,CHAVEIRO NOSSA MÚSICA SPOTIFY,9.0,0.8612606130030822
358,Av.presidente Kennedy 10831.  Vila Caicara .praia grande.  Enfrente emtu,9.0,0.8095155025113889
365,Obrigada,2.0,0.9627894558350756
367,Obrigado,7.0,0.9859162697976918
370,Boa tarde,12.0,0.9081050786729821
372,Marcos Antônio da Silva  CPF 06360266806,9.0,0.8188392420305537
385,Ok,4.0,0.9999925679915664
389,Sim,5.0,0.9880873048952942
395,??,6.0,0.9738372424132666
396,Obrigado!,16.0,0.8041436608044272
398,Haide Barros de Moura,9.0,0.8279245477604815
409,Obrigado,7.0,0.9859162697976918
412,Obrigada,2.0,0.9627894558350756
421,18969587,13.0,0.8341843549148521
425,Feito,7.0,0.8233220360783159
427,Nome de Patrícia Gomes,9.0,0.8343519945022542
429,Sim,5.0,0.9880873048952942
434,Boa tarde,12.0,0.9081050786729821
435,Quero saber como resgatar minha senha do INSS...entrei em esqueci minha senha...mas o telefone que consta lá não tenho mais...eles não aceita fazer a leitura facial...o que devo fazer?,17.0,0.8597194756314752
437,26196077015,13.0,0.9156373166862923
438,Certo,19.0,0.989127781057761
440,Boa tarde,12.0,0.9081050786729821
444,1,13.0,0.9225807665146257
453,Oi,3.0,0.9999177003965305
461,Pesado,7.0,0.8135340326775173
462,Coloca pra data de segunda,1.0,0.8166619450136434
468,Oi,3.0,0.9999177003965305
469,"Prefeitura de Governador Valadares 
SAAE GV
IPREM GV",9.0,0.8604763596248604
470,Oi,3.0,0.9999177003965305
477,Sim,5.0,0.9880873048952942
480,2018,13.0,0.8737582927408637
483,Boa tarde,12.0,0.9081050786729821
484,Maria Islayne da Silva Barbosa,9.0,0.8162248998661543
486,Sim,5.0,0.9880873048952942
487,"Entrega: rua Manoel Carlos Gouveia, 351 casa 1400
Bairro: José de Alencar 
Condomínio Carmel Desing",9.0,0.9220918730817493
493,Oiê Mayara,9.0,0.8283591725745006
494,Pagamento até p dia 10,8.0,0.8553704758546242
497,Boa tarde,12.0,0.9081050786729821
498,Também,18.0,0.8049395379569302
500,Oi,3.0,0.9999177003965305
511,Ok,4.0,0.9999925679915664
512,Yara de Oliveira Souza,9.0,0.8519744628532726
513,Obrigado,7.0,0.9859162697976918
517,??,6.0,0.9738372424132666
527,Obrigado,7.0,0.9859162697976918
530,Boa tarde,12.0,0.9081050786729821
533,Boa tarde,12.0,0.9081050786729821
536,Autarquia de Governador Valadares,9.0,0.82366434233007
541,Boa tarde,12.0,0.9081050786729821
547,Ok,4.0,0.9999925679915664
552,Aí Jesus Cristo,9.0,0.8431183303273905
558,Boa tarde Priscila,12.0,0.904859611691149
570,?,6.0,0.9903489639542571
571,Boa tarde,12.0,0.9081050786729821
575,?,6.0,0.9903489639542571
582,Sim,5.0,0.9880873048952942
584,???,6.0,0.9517508450308584
586,Unimed,10.0,0.8548461917134229
594,Boa tarde,12.0,0.9081050786729821
601,Francileide Vidal De Negreiros Maia,9.0,0.9054378335335891
609,92992146055,13.0,0.8709413607648746
615,Ok,4.0,0.9999925679915664
616,Ok,4.0,0.9999925679915664
618,Boa tarde Caroline,12.0,0.855846942284155
625,Obrigado!,16.0,0.8041436608044272
626,Boa tarde,12.0,0.9081050786729821
627,Ok,4.0,0.9999925679915664
632,Boa tarde,12.0,0.9081050786729821
636,56334869604,13.0,0.8437856746167549
637,1122543,13.0,0.8984034941549616
645,Invalido,7.0,0.8434575676632359
670,Certo,19.0,0.989127781057761
671,Certo,19.0,0.989127781057761
690,Júlio ID 117545 Motivo: paguei no cartão de crédito do meu UpLine mas o pedido não está marcando como pago.,14.0,0.8477023804824254
696,Boa tarde,12.0,0.9081050786729821
703,Celular,10.0,0.8344719044161099
710,AM Go eu so posso pagar uma pois se já venho fora do ar muito tempo como posso pagar algo que não uso se não tivesse me castigado estaria tudo normal mais no mês do meu acidente eu avisei então me respeitaram e se eu pagar dia primeiro consertada não coloca no ar alegando dívida um mês que paguei tive os serviços pedi paciência só enquanto eu pagava logo chegou aviso me ameaçando bloquear os serviços e bloquearam nesmo,17.0,0.867317518700168
716,Oi,3.0,0.9999177003965305
721,Boa tarde,12.0,0.9081050786729821
724,Certo,19.0,0.989127781057761
727,Sim,5.0,0.9880873048952942
733,Ok,4.0,0.9999925679915664
739,Sim,5.0,0.9880873048952942
741,?,6.0,0.9903489639542571
745,?,6.0,0.9903489639542571
747,?,6.0,0.9903489639542571
749,?,6.0,0.9903489639542571
759,Ok,4.0,0.9999925679915664
772,Ac Jessica,9.0,0.8136755283942547
773,Obrigada,2.0,0.9627894558350756
774,1141131,13.0,0.8958278394176176
776,Já pode mandar fazer,0.0,0.8352342726927826
780,Ok,4.0,0.9999925679915664
782,?,6.0,0.9903489639542571
793,Ok,4.0,0.9999925679915664
794,Ok,4.0,0.9999925679915664
797,Oi,3.0,0.9999177003965305
803,Certo,19.0,0.989127781057761
809,Oi,3.0,0.9999177003965305
814,Olá Edna,9.0,0.8111303912347395
818,8 102,13.0,0.8907989742428014
821,Oi,3.0,0.9999177003965305
823,969991711,13.0,0.880306079781854
827,Aniversário,10.0,0.8246651290526192
829,"DADOS NECESSÁRIOS PARA MATRÍCULA
Nome Completo: Larissa da Costa de Oliveira 
Data Nascimento: 28/06 /81
Cidade Nascimento: Curitiba 
Estado Civil: casada
CPF: 034796899-65
RG: 8190131-7
Endereço: Rua Assis Figueiredo 1315 ap 64 2B 
CEP: 80630-280
E-mail: larissa.londrina@yahoo.com
Telefone Celular: 41-997771305
Telefone Fixo ou outro celular para recado: 11-930959077
Telefone Recado:3d ✓5 d1",9.0,0.8432198984165673
839,José Nivardo Ferreira de Oliveira@gmail.com,9.0,0.8645238296683728
842,Ok,4.0,0.9999925679915664
845,Boa tarde,12.0,0.9081050786729821
847,Ok,4.0,0.9999925679915664
848,"Jessica Mikaela Rodrigues de Campos 
10524657-9
065757589-59
23/02/1988
Mae:Margareht Rodrigues de Campos 
Sem nome de pai
44 999274267
Av Joao de barros 550
Conj Floresta 
87112-690
25 mega 
Opção 2",9.0,0.8648363133066921
852,id 476 702 377,13.0,0.8417313205051915
865,Pode ser? Precisa confirmar ou agendar?,0.0,0.8010919307196029
880,31017088187,13.0,0.8815738019525607
893,996214053,13.0,0.9131710616629013
898,????,6.0,0.9330070096650737
906,Obrigada,2.0,0.9627894558350756
915,Fiz o cadastro da vacina na comorbidade mais não recebi a mensagem de vacinação,1.0,0.8710036305548987
923,Obrigada,2.0,0.9627894558350756
927,?,6.0,0.9903489639542571
931,Oi,3.0,0.9999177003965305
938,Obrigado !!!,16.0,0.8076234523715511
942,Boa tarde,12.0,0.9081050786729821
947,?,6.0,0.9903489639542571
948,Boa tarde,12.0,0.9081050786729821
961,Boa tarde,12.0,0.9081050786729821
968,Boa tarde,12.0,0.9081050786729821
970,?,6.0,0.9903489639542571
971,Ok,4.0,0.9999925679915664
973,54210252,13.0,0.8758281022836514
975,54210189,13.0,0.8100320589770813
976,?,6.0,0.9903489639542571
981,Isso. Obrigada!,16.0,0.8355733579019464
982,Sim,5.0,0.9880873048952942
992,278,13.0,0.8578661366446522
996,Olá,15.0,0.8845560941342169
998,Oi,3.0,0.9999177003965305
1000,378,13.0,0.8169558720236464
1002,"JACQUELINE CAVALCANTI DOS SANTOS XIMENES 
(85)98670-7590
jack.c.s.x@gmail.com
UNIMED MULTIPLAN",9.0,0.83430004028498
1004,19 202,13.0,0.8999691047516193
1006,Obrigado,7.0,0.9859162697976918
1011,Monte Everest,9.0,0.8287610182895103
1015,??,6.0,0.9738372424132666
1023,Sim,5.0,0.9880873048952942
1033,"Graciela rocha de Souza 
Jardim do colégio",9.0,0.8033438966896509
1034,"40,00",13.0,0.8316993090267459
1037,Gabriel Albernaz Leite Naves,9.0,0.9187973673751126
1043,477.653.288.32,13.0,0.8327838666199423
1056,Sim,5.0,0.9880873048952942
1061,Certo,19.0,0.989127781057761
1062,Ok,4.0,0.9999925679915664
1063,Flávia Renata Silva da Cruz,9.0,0.8119927865946532
1075,Boa tarde Tiffany,12.0,0.8710799648367218
1078,??,6.0,0.9738372424132666
1085,Sim,5.0,0.9880873048952942
1095,Olá,15.0,0.8845560941342169
1097,Boa tarde,12.0,0.9081050786729821
1103,"Unimed Multiplan 
16/01/1979",9.0,0.8137090693832758
1104,4 301,13.0,0.8817542521995575
1110,2,13.0,0.9228572756673731
1111,Alexander Arley Xavier Santiago,9.0,0.8920455191689538
1122,Ok,4.0,0.9999925679915664
1124,Boa Tarde,9.0,0.814110557008938
1126,.,6.0,0.9528993961538452
1130,Boa tarde,12.0,0.9081050786729821
1131,Boa tarde,12.0,0.9081050786729821
1135,?,6.0,0.9903489639542571
1137,Olá,15.0,0.8845560941342169
1141,??,6.0,0.9738372424132666
1156,Cleide de Souza Lopes,9.0,0.8874405565053303
1157,Kkkkk,10.0,0.8077810132463744
1162,Christyane Gurgel Albuquerque,9.0,0.8676589944675277
1163,??,6.0,0.9738372424132666
1165,Fazer Analise de Credito para Cleiton de Sousa Barista - CPF 148.727.597-06,9.0,0.8522799886178871
1167,Kkkkk,10.0,0.8077810132463744
1170,Sim,5.0,0.9880873048952942
1174,Boa tarde,12.0,0.9081050786729821
1181,Ok,4.0,0.9999925679915664
1187,Oi,3.0,0.9999177003965305
1193,70082467145,13.0,0.8484311859374898
1194,Obrigada,2.0,0.9627894558350756
1202,Obrigado,7.0,0.9859162697976918
1203,Boa tarde,12.0,0.9081050786729821
1205,15704476759,13.0,0.8840106445403579
1214,Oi,3.0,0.9999177003965305
1215,Andréa Cristina Mariano,9.0,0.8441527022821392
1216,3 207,13.0,0.8953311012602723
1229,Sim,5.0,0.9880873048952942
1239,"70530564734
Pedro Paulo de Souza felipe",9.0,0.8744675030261795
1241,200,13.0,0.8655958569504989
1254,Certo,19.0,0.989127781057761
1258,Boa tarde,12.0,0.9081050786729821
1261,Boa tarde,12.0,0.9081050786729821
1262,84135611400,13.0,0.8509343056977084
1287,Ok obg.!!!!!,16.0,0.8368672995822568
1288,5,13.0,0.8520622415298768
1294,Boa tarde 🌼,12.0,0.8128255029105149
1301,Ok,4.0,0.9999925679915664
