Frase	Grupo	Palavra Em Destaque No Grupo	Palavras Frequentes No Grupo
Olá, gostaria de acompanhar on line os cursos da Professora Lucia Helena.	0	professora	helena,gostaria,lucia
Onde posso ver e ouvir os cursos da Prof.a Lucia Helena?	0	professora	helena,gostaria,lucia
Gostaria muito de participar  do curso , que a professora Lucia  Helena  vai dar , sobre os clássicos  indianos?	0	professora	helena,gostaria,lucia
Olá! Por favor gostaria de informações sobre palestras da Prof Lucia Helena	0	professora	helena,gostaria,lucia
Olá! Acabei de assistir a uma palestra da Prof. Lucia Helena Galvão no YouTube, gostei e comprei um Plano anual via QR CODE, como acesso?	0	professora	helena,gostaria,lucia
Gostaria de saber qual editor do Caibalion que a professora Lucia prefere pois quero comprar e tb o que tem os comentários dela.	0	professora	helena,gostaria,lucia
Assim que possivel, gostaria de informações sobre o Curso de Filosofia à Maneira Clássica e cursos com a Professora Lucia Helena	0	professora	helena,gostaria,lucia
Olá! Gostaria de comprar o curso da professora Helena  da filosofia indiana. O tempo para pagamento da minha inscrição acabou e nao me consigo inscrever de novo.	0	professora	helena,gostaria,lucia
Gostaria de saber quais unidade do Df estão iniciando turma? E se em algum a professora Lucia Helena dá aula?	0	professora	helena,gostaria,lucia
Olá, Helena! Sou seguidora da Maria Helena Galvão. As suas aulas são simplesmente geniais. Gostaria de participar de uma aula ao vivo. É possível?	0	professora	helena,gostaria,lucia
Comprei o curso através de um vídeo que vi no YouTube com a Lúcia Helena. Gostaria de confirmar primeiro, antes de abrir através da mensagem que recebi por e-mail.	0	professora	helena,gostaria,lucia
Olá! Gostaria de saber sobre cursos on-line com a professora Lucia Helena Galvão.	0	professora	helena,gostaria,lucia
Ontem comprei o curso através de um vídeo que vi no YouTube com a Lúcia Helena. Gostaria de confirmar primeiro antes de abrir através da mensagem que recebi por e-mail.	0	professora	helena,gostaria,lucia
Meu nome é Judite e desejo saber sobre o novo curso da professora  Lucia Helena Galvão.	0	professora	helena,gostaria,lucia
